Day,VMT (Veh-Miles),TTI,VHT (Veh-Hours),Delay (V_t=35) (Veh-Hours),# Lane Points,% Observed
1/5/2025 0:00,"85,983,765.00",1.00,"1,386,513.60","19,219.60",2494656,22.10
1/6/2025 0:00,"96,413,230.60",1.10,"1,733,297.70","80,199.40",2494656,20.60
1/7/2025 0:00,"97,114,748.30",1.10,"1,848,453.10","125,616.60",2494656,21.80
1/8/2025 0:00,"94,284,507.10",1.10,"1,783,113.20","109,799.70",2494656,21.00
1/9/2025 0:00,"97,138,033.60",1.10,"1,779,180.20","82,308.60",2494656,14.50
1/10/2025 0:00,"99,338,860.60",1.10,"1,813,058.90","80,206.10",2494656,15.70
1/11/2025 0:00,"93,235,948.40",1.00,"1,544,554.90","19,787.30",2494656,18.40
1/12/2025 0:00,"84,043,125.10",1.00,"1,337,960.80","4,180.00",2494656,20.50
1/13/2025 0:00,"95,096,994.50",1.10,"1,711,232.80","80,213.20",2494656,20.40
1/14/2025 0:00,"95,226,241.80",1.10,"1,777,279.40","103,296.10",2494656,22.70
1/15/2025 0:00,"99,167,389.10",1.20,"1,904,478.20","132,896.20",2494656,22.40
1/16/2025 0:00,"99,698,078.40",1.10,"1,898,072.00","131,579.20",2494656,23.20
1/17/2025 0:00,"103,653,015.90",1.10,"1,960,864.40","126,725.70",2494656,23.40
1/18/2025 0:00,"97,946,205.80",1.00,"1,653,138.40","34,716.30",2494656,24.60
1/19/2025 0:00,"88,468,496.20",1.00,"1,412,709.60","7,052.80",2494656,23.40
1/20/2025 0:00,"95,552,692.00",1.10,"1,686,263.90","62,017.30",2494656,22.20
1/21/2025 0:00,"97,672,634.20",1.20,"1,863,960.40","140,367.70",2494656,21.50
1/22/2025 0:00,"97,210,880.40",1.20,"1,870,025.90","142,948.50",2494656,19.30
1/23/2025 0:00,"100,886,774.80",1.20,"1,946,491.90","147,603.90",2494656,23.00
1/24/2025 0:00,"102,585,734.20",1.10,"1,950,483.60","132,872.80",2494656,22.40
1/25/2025 0:00,"98,177,257.30",1.00,"1,671,112.50","40,571.00",2494656,23.30
1/26/2025 0:00,"82,790,320.40",1.00,"1,346,708.00","12,076.40",2494656,25.70
1/27/2025 0:00,"97,253,219.70",1.10,"1,775,438.40","99,255.50",2494656,24.10
1/28/2025 0:00,"96,818,792.40",1.10,"1,840,664.10","138,220.40",2494656,25.00
1/29/2025 0:00,"98,661,491.20",1.10,"1,866,644.20","136,597.80",2494656,24.30
1/30/2025 0:00,"101,839,825.30",1.10,"1,940,305.10","135,464.10",2494656,24.30
1/31/2025 0:00,"104,045,994.10",1.10,"1,977,320.00","137,747.00",2494656,24.80
2/1/2025 0:00,"98,344,597.30",1.00,"1,637,000.70","23,953.60",2494656,6.30
2/2/2025 0:00,"86,067,875.60",1.00,"1,365,307.00","4,201.00",2494656,0.30
2/3/2025 0:00,"96,119,270.80",1.10,"1,716,335.50","76,034.10",2494656,8.70
2/4/2025 0:00,"97,842,474.30",1.10,"1,844,818.30","134,099.80",2494656,24.80
2/5/2025 0:00,"42,378,447.70",1.10,"791,582.80","55,727.60",1247328,24.10
