premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain
"traffic_congestion_detected, anger_mentioned",fear_keywords_present,5,15.151515151515152,100.0,2.5384615384615388,0.09182736455463729,True
"traffic_congestion_detected, emotion_with_mobility_signal",fear_keywords_present,9,27.27272727272727,88.88888888888889,2.2564102564102564,0.13498622589531684,True
"fear_keywords_present, anger_mentioned",traffic_congestion_detected,6,18.181818181818183,83.33333333333334,1.9642857142857144,0.0743801652892562,True
"anger_mentioned, policy_governance_discussion",traffic_congestion_detected,5,15.151515151515152,80.0,1.8857142857142857,0.05693296602387511,True
"traffic_congestion_detected, sadness_keywords_present",policy_governance_discussion,6,18.181818181818183,83.33333333333334,1.71875,0.06336088154269973,True
"traffic_congestion_detected, anger_mentioned",policy_governance_discussion,5,15.151515151515152,80.0,1.6500000000000001,0.04775022956841139,True
"anger_mentioned, sadness_keywords_present",mixed_emotions,4,12.121212121212121,100.0,6.6,0.10284664830119376,False
"anger_mentioned, solidarity_messages",mixed_emotions,5,15.151515151515152,80.0,5.28,0.09825528007346189,False
"mixed_emotions, solidarity_messages",anger_mentioned,4,12.121212121212121,100.0,4.714285714285714,0.09550045913682277,False
mixed_emotions,anger_mentioned,5,15.151515151515152,80.0,3.7714285714285714,0.08907254361799816,False
"high_negative_sentiment, sentiment_shift_detected",sentiment_worsened,5,15.151515151515152,80.0,3.7714285714285714,0.08907254361799816,False
"sentiment_shift_detected, fear_keywords_present",sentiment_worsened,5,15.151515151515152,80.0,3.7714285714285714,0.08907254361799816,False
"sadness_keywords_present, mixed_emotions",anger_mentioned,5,15.151515151515152,80.0,3.7714285714285714,0.08907254361799816,False
"policy_governance_discussion, emotion_with_mobility_signal",anger_mentioned,5,15.151515151515152,80.0,3.7714285714285714,0.08907254361799816,False
"high_negative_sentiment, weekend",emotion_mobility_mismatch,4,12.121212121212121,100.0,3.666666666666667,0.0881542699724518,False
"policy_governance_discussion, emotion_mobility_mismatch",weekend,4,12.121212121212121,100.0,3.666666666666667,0.0881542699724518,False
"fear_keywords_present, anger_mentioned",emotion_with_mobility_signal,6,18.181818181818183,83.33333333333334,3.055555555555556,0.10192837465564739,False
mixed_emotions,sadness_keywords_present,5,15.151515151515152,100.0,3.0,0.10101010101010102,False
"sentiment_shift_detected, emotion_mobility_mismatch",high_negative_sentiment,4,12.121212121212121,100.0,3.0,0.08080808080808081,False
"fear_keywords_present, mixed_emotions",sadness_keywords_present,4,12.121212121212121,100.0,3.0,0.08080808080808081,False
"anger_mentioned, mixed_emotions",sadness_keywords_present,4,12.121212121212121,100.0,3.0,0.08080808080808081,False
"mixed_emotions, solidarity_messages",sadness_keywords_present,4,12.121212121212121,100.0,3.0,0.08080808080808081,False
"high_negative_sentiment, sentiment_shift_detected",emotion_mobility_mismatch,5,15.151515151515152,80.0,2.9333333333333336,0.07988980716253444,False
"anger_mentioned, policy_governance_discussion",emotion_with_mobility_signal,5,15.151515151515152,80.0,2.9333333333333336,0.07988980716253444,False
"policy_governance_discussion, weekend",emotion_mobility_mismatch,5,15.151515151515152,80.0,2.9333333333333336,0.07988980716253444,False
dominant_emotion_fear,fear_keywords_present,5,15.151515151515152,100.0,2.5384615384615388,0.09182736455463729,False
"anger_mentioned, emotion_with_mobility_signal",fear_keywords_present,5,15.151515151515152,100.0,2.5384615384615388,0.09182736455463729,False
"policy_governance_discussion, emotion_with_mobility_signal",fear_keywords_present,5,15.151515151515152,100.0,2.5384615384615388,0.09182736455463729,False
"sadness_keywords_present, emotion_with_mobility_signal",fear_keywords_present,4,12.121212121212121,100.0,2.5384615384615388,0.07346189164370984,False
"solidarity_messages, emotion_with_mobility_signal",fear_keywords_present,4,12.121212121212121,100.0,2.5384615384615388,0.07346189164370984,False
"anger_mentioned, solidarity_messages",sadness_keywords_present,5,15.151515151515152,80.0,2.4000000000000004,0.07070707070707072,False
"weekend, emotion_mobility_mismatch",high_negative_sentiment,5,15.151515151515152,80.0,2.4000000000000004,0.07070707070707072,False
emotion_with_mobility_signal,fear_keywords_present,9,27.27272727272727,88.88888888888889,2.2564102564102564,0.13498622589531684,False
anger_mentioned,fear_keywords_present,7,21.21212121212121,85.71428571428571,2.1758241758241756,0.0982552800734619,False
mixed_emotions,fear_keywords_present,5,15.151515151515152,80.0,2.030769230769231,0.061524334251606985,False
"anger_mentioned, policy_governance_discussion",fear_keywords_present,5,15.151515151515152,80.0,2.030769230769231,0.061524334251606985,False
"anger_mentioned, solidarity_messages",fear_keywords_present,5,15.151515151515152,80.0,2.030769230769231,0.061524334251606985,False
"sadness_keywords_present, mixed_emotions",fear_keywords_present,5,15.151515151515152,80.0,2.030769230769231,0.061524334251606985,False
"anger_mentioned, sadness_keywords_present",solidarity_messages,4,12.121212121212121,100.0,1.8333333333333335,0.05509641873278237,False
"anger_mentioned, mixed_emotions",solidarity_messages,4,12.121212121212121,100.0,1.8333333333333335,0.05509641873278237,False
"policy_governance_discussion, low_emotion_low_mobility_signal",solidarity_messages,4,12.121212121212121,100.0,1.8333333333333335,0.05509641873278237,False
"anger_mentioned, solidarity_messages",policy_governance_discussion,5,15.151515151515152,80.0,1.6500000000000001,0.04775022956841139,False
"anger_mentioned, emotion_with_mobility_signal",policy_governance_discussion,5,15.151515151515152,80.0,1.6500000000000001,0.04775022956841139,False
"weekend, emotion_mobility_mismatch",policy_governance_discussion,5,15.151515151515152,80.0,1.6500000000000001,0.04775022956841139,False
mixed_emotions,solidarity_messages,5,15.151515151515152,80.0,1.4666666666666668,0.03856749311294766,False
"anger_mentioned, policy_governance_discussion",solidarity_messages,5,15.151515151515152,80.0,1.4666666666666668,0.03856749311294766,False
"sadness_keywords_present, mixed_emotions",solidarity_messages,5,15.151515151515152,80.0,1.4666666666666668,0.03856749311294766,False
